No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
,2010,9,22,20,170,-24,-10,996,SW,3.891232422,4,8
,2013,7,6,8,28,2,-10,991,NW,44.82470171,2,4
,2011,9,7,14,35,0,28,1014,SW,19.60095056,8,6
,2014,9,2,7,12,24,10,999,NE,24.03450108,1,1
,2021,1,4,7,159,-19,34,1027,NE,22.23668252,6,5
,2021,8,15,7,186,-20,19,995,NW,26.56431115,3,5
,2013,12,13,23,242,-7,21,1016,SE,29.90842359,7,9
,2010,7,9,13,85,-23,22,1024,NW,35.51717165,6,5
,2014,11,5,5,283,1,37,999,SE,26.24701695,7,5
,2014,2,17,12,65,26,11,998,NE,34.2386628,3,3
,2022,3,6,6,169,7,19,1009,NE,16.91487218,1,4
,2014,6,14,14,44,29,35,1026,NE,46.83404351,6,3
,2011,11,5,9,61,-9,-7,1024,SE,3.22655099,8,5
,2013,11,31,11,133,3,12,1026,SE,27.27703043,5,8
,2014,3,2,4,283,-12,33,1029,NE,4.369808801,6,4
,2020,8,14,21,27,21,14,997,NW,22.1383518,5,4
,2020,4,19,2,107,-11,1,1020,SE,12.87911788,1,2
,2015,7,19,4,43,25,6,1005,SW,46.84517248,8,6
,2016,4,28,11,285,-17,4,1017,NE,0.653769319,4,4
,2019,2,23,2,127,2,-1,995,SE,19.56018156,2,1
,2020,7,13,20,230,-21,24,1021,NE,39.10213749,3,8
,2012,8,21,0,189,-15,18,1017,SW,9.423070633,3,4
,2012,1,31,16,224,-27,1,1000,NW,40.77941023,8,6
,2019,5,12,9,282,-4,-10,1012,SW,42.98625439,4,6
,2021,10,28,5,120,-3,-10,1019,NW,35.40014998,1,9
,2011,8,25,23,115,12,-1,998,NW,10.45345912,5,7
,2018,1,1,19,232,-15,7,1017,SE,13.60193283,6,3
,2010,12,3,12,258,28,36,1013,NW,8.346736435,7,6
,2012,3,10,14,197,21,-9,1017,NW,9.20318686,4,2
,2012,2,8,22,136,2,38,1013,NW,1.824614824,7,8
,2017,3,13,20,164,17,-3,1004,NE,42.86575406,7,7
,2021,3,31,1,224,-12,11,1028,SE,26.42511437,3,9
,2015,3,19,20,233,-10,11,1022,SE,16.38796119,6,8
,2012,1,3,1,171,-9,15,1023,NW,14.4788498,8,1
,2010,3,24,16,151,-22,15,1011,NE,27.23481482,9,3
,2012,2,26,18,159,-22,-2,1018,NW,16.33424109,3,0
,2013,9,3,0,95,-22,10,1023,SE,43.18589875,8,7
,2010,10,27,4,232,-4,20,999,SE,10.54787175,3,3
,2012,8,18,19,179,-14,32,1019,SE,44.11508957,0,3
,2013,6,3,15,112,13,-5,1000,SE,33.20462265,3,6
,2016,7,29,21,51,26,3,1023,NE,47.83146102,1,5
,2013,1,12,4,267,14,22,1010,SW,0.755362082,5,2
,2010,7,2,22,294,-23,-4,1002,SW,2.954778286,7,7
,2018,8,30,22,112,-15,13,1014,NE,25.0447297,5,1
,2015,8,8,9,100,-13,-2,1010,NW,45.6189415,8,0
,2018,6,31,20,112,28,0,990,SE,36.53974758,5,1
,2016,7,28,9,80,2,12,994,SE,31.10679663,6,8
,2013,11,21,0,186,-30,37,1011,SE,1.580107783,4,4
,2010,2,14,8,112,-19,-9,996,NE,17.70818942,7,4
,2016,4,19,17,1,-25,4,1002,NE,17.29264465,1,5
,2018,8,11,6,129,10,24,1012,SE,27.10428411,1,2
,2021,11,16,18,219,24,25,1010,SE,12.89138897,7,0
,2015,4,14,21,53,-26,17,995,NW,13.35778576,5,7
,2021,8,8,15,223,28,28,1009,SW,31.04304,1,6
,2010,10,30,20,224,-15,33,1001,NE,47.22837717,5,7
,2018,12,24,5,125,-13,-7,1029,SW,33.00895518,7,8
,2016,4,27,9,129,18,-1,998,SE,33.4065062,5,1
,2010,9,20,4,52,-13,-5,1017,SW,49.31074067,8,4
,2013,1,14,12,171,-30,19,1000,SW,7.673908353,5,1
,2014,6,25,11,217,-12,35,1021,NE,1.69173871,2,7
,2011,1,12,23,159,23,24,1000,NE,37.27569754,8,3
,2012,12,17,16,197,-23,38,1013,NW,21.93937166,9,3
,2011,6,23,1,246,-28,32,1004,SE,21.44116774,4,9
,2013,4,12,4,202,27,-1,1024,NW,11.26516882,5,7
,2016,8,21,21,183,-6,21,1006,NE,25.34315203,3,6
,2014,8,12,9,122,27,31,1014,NW,22.10861719,2,0
,2016,9,12,0,254,-26,31,1024,SW,17.27250039,9,6
,2021,7,7,11,293,24,-8,1008,SW,22.13725797,4,9
,2010,11,10,13,279,9,15,1020,NE,19.19173854,2,2
,2012,8,30,22,97,-12,4,1006,SW,46.9948179,1,4
,2011,11,16,7,197,-13,6,1012,SE,49.01258287,5,7
,2021,3,27,16,239,19,16,990,NE,41.99504663,7,5
,2022,10,24,10,143,22,7,999,SE,49.52070455,2,7
,2010,4,3,19,96,0,8,997,NE,13.28597145,5,4
,2014,4,30,1,200,2,1,1015,NE,42.1462555,8,9
,2012,6,3,4,123,16,13,1023,SW,20.3314506,0,8
,2017,7,1,17,186,-13,-6,1008,NE,37.30681989,2,5
,2014,9,5,8,258,26,13,1003,NE,10.06963203,1,8
,2014,10,8,8,147,8,16,997,NW,40.59780449,7,3
,2016,6,17,9,251,-15,37,990,SW,4.173221308,8,1
,2017,2,16,20,146,-15,19,1014,SE,13.52788534,9,7
,2010,10,16,20,147,16,4,1013,NE,41.09763084,5,4
,2014,10,18,3,198,7,36,1009,SE,37.35796109,2,1
,2018,7,18,16,127,10,27,1019,NW,25.06233775,9,5
,2020,10,14,11,38,-24,33,994,NE,33.63963871,7,2
,2021,9,31,2,128,-17,23,992,SE,9.278701225,9,0
,2018,8,12,3,266,12,16,1021,SW,33.38818112,6,5
,2016,4,10,22,150,22,9,1006,NW,0.398808367,1,7
,2013,2,2,6,297,17,30,994,NW,41.66079337,6,0
,2011,8,21,22,98,-6,21,1000,SE,25.8143804,0,2
,2014,6,26,22,262,1,-7,1027,NE,47.19392258,7,5
,2013,12,23,10,251,7,-6,993,NE,23.90821337,4,9
,2022,8,28,3,143,-9,-3,1028,SW,21.65436412,8,2
,2010,11,3,19,111,28,11,1008,SW,22.50264062,2,6
,2022,9,1,5,59,-15,31,1028,NE,17.98643101,6,5
,2016,3,9,0,1,21,-4,1012,NW,8.333754192,7,8
,2012,8,31,0,253,-2,11,1006,SW,42.10313635,0,5
,2015,10,25,5,139,-15,35,1002,SW,19.45427039,5,6
,2021,8,4,0,36,-19,19,1016,NW,26.45542141,1,1
,2014,5,21,14,159,-14,26,990,NE,0.994345823,7,9
,2021,6,16,0,8,6,5,991,SE,3.012693636,5,3
,2013,5,4,5,232,-4,4,1007,SW,29.85916147,2,4
,2012,6,31,23,98,-6,-6,1025,NW,43.96140413,3,1
,2018,1,24,8,146,-18,-8,1022,SW,24.6697914,6,9
,2014,10,17,5,207,-23,12,1025,NW,8.24872903,8,9
,2019,10,15,16,130,25,-1,991,SW,5.806365718,9,9
,2016,10,4,22,151,-26,-6,993,NE,44.98940007,1,6
,2013,2,4,17,53,-19,12,1005,NW,35.0818927,8,3
,2010,8,12,22,119,10,4,993,SE,48.30977773,5,8
,2011,1,3,19,160,-28,7,998,SE,4.117431067,1,7
,2021,9,20,0,115,4,14,1010,SW,45.13064275,7,9
,2019,7,23,15,74,2,-3,1012,SE,42.28161563,3,8
,2022,1,5,15,112,26,20,991,SW,44.65925915,7,7
,2014,5,19,0,103,-9,10,992,NW,0.28814783,6,4
,2021,2,30,6,253,19,-9,1012,NW,37.09517403,6,8
,2017,11,6,13,226,25,11,1015,SE,27.44690571,6,4
,2017,12,28,14,111,13,-3,996,SE,28.65897169,1,7
,2021,1,26,5,98,-22,12,1025,NE,23.46009937,7,3
,2017,1,9,22,152,10,21,1022,NW,37.13384589,1,4
,2022,5,3,16,193,-13,-3,1025,SE,49.99196452,2,3
,2018,4,2,16,162,19,-7,993,SE,35.52691796,9,1
,2011,5,31,5,207,-2,19,1012,SE,33.9025208,6,3
,2013,6,25,12,168,8,8,1014,SW,32.72188578,6,4
,2021,1,21,23,160,-4,12,1015,NE,34.76058349,6,5
,2020,2,10,10,67,5,7,1017,NW,17.10562337,3,3
,2019,2,5,18,288,14,18,1017,SE,16.01098718,4,9
,2015,5,29,9,276,-14,12,1010,SE,39.21689891,6,3
,2022,12,7,1,134,25,22,999,SE,2.654400868,7,5
,2015,10,15,19,194,3,36,1016,SW,37.96238691,2,6
,2021,9,2,7,127,15,7,1004,NW,40.69207926,5,6
,2021,7,10,14,32,-28,33,1006,SE,26.07989798,8,3
,2014,10,11,8,175,-26,22,1028,SE,45.50740477,9,4
,2011,4,21,12,21,-17,-4,1024,SW,23.65437186,4,2
,2017,5,24,21,237,-28,17,994,SW,8.904333405,3,4
,2010,11,8,22,157,-8,-10,1005,NE,18.06993244,8,9
,2022,7,26,14,37,8,28,1012,NE,45.2933753,3,4
,2010,10,23,14,229,-1,23,1028,NW,49.68691442,2,3
,2021,9,21,0,50,19,28,998,NE,21.09269835,6,5
,2010,12,12,4,263,14,8,1022,NW,8.34232728,4,4
,2018,10,4,14,282,-8,20,1024,NE,14.31646401,0,7
,2014,7,28,21,26,-4,2,1029,SE,27.66481713,7,1
,2021,11,29,13,225,23,13,1013,NE,28.60479591,0,5
,2011,2,13,5,276,-21,-6,1013,SE,31.50297033,8,1
,2020,4,18,5,285,-6,12,1013,NW,41.76766863,0,5
,2010,10,18,22,96,-18,8,1008,NE,35.56070758,3,3
,2013,4,27,19,283,-15,-10,1028,NE,13.04201133,9,0
,2020,11,31,4,146,10,22,1014,NE,19.75220303,3,5
,2011,9,3,21,3,3,39,1020,SE,41.99082919,8,2
,2012,8,3,8,34,24,22,1027,SE,31.66913353,0,6
,2011,6,7,19,191,6,21,1014,NE,8.320902412,9,2
,2017,8,22,19,48,-9,17,1016,NW,16.2769402,8,9
,2012,7,17,6,16,-14,26,1021,SE,39.55454562,3,3
,2011,8,28,15,171,-8,30,1000,SW,8.604706166,6,8
,2015,7,29,16,219,23,1,994,NW,34.55253264,8,6
,2016,2,6,22,157,5,-2,1022,NW,28.17682681,6,3
,2018,11,16,7,45,18,39,1008,NW,7.37374532,1,1
,2020,12,28,17,5,-22,0,1005,SE,34.4439462,5,4
,2019,6,5,19,98,21,22,1024,NE,7.117448533,5,7
,2013,4,22,12,232,-29,8,1000,NE,19.92177896,2,1
,2014,4,24,13,36,1,31,1000,SW,15.42799623,3,8
,2020,10,17,3,279,25,23,999,NE,34.50049763,5,4
,2015,6,29,9,180,19,-4,1023,SW,39.11811783,5,5
,2012,8,11,9,94,22,20,994,SW,8.415829098,0,6
,2012,5,22,5,98,28,-9,1012,NE,40.59983713,9,8
,2012,3,12,6,187,-9,8,1014,SW,0.3607028,7,6
,2014,12,12,6,115,12,27,1018,NW,26.50292737,8,3
,2020,1,4,3,190,-18,21,1029,NW,25.83944449,1,4
,2015,5,9,18,252,-23,-1,1002,NW,31.19107154,3,2
,2018,3,14,19,160,28,30,1021,SE,11.98502652,5,0
,2018,3,12,8,255,-30,-3,1023,SW,0.492841497,1,2
,2021,4,10,22,127,-14,15,1001,SW,22.73814581,6,0
,2014,9,8,18,17,-19,19,1013,NW,3.570310563,5,4
,2017,4,23,15,280,-27,0,1029,SE,44.60969434,7,6
,2016,5,3,2,222,22,30,1010,NE,8.683316284,6,8
,2013,10,27,4,53,-18,9,1018,NW,21.26164837,9,3
,2010,5,13,23,57,0,9,1012,SE,21.70001951,0,9
,2012,1,16,4,173,10,-2,1022,NE,27.64323239,9,9
,2020,7,25,5,279,28,-3,997,SE,39.12661744,9,0
,2019,2,13,8,113,-24,4,1002,NE,23.60740753,4,6
,2014,6,13,8,287,-8,23,994,SW,1.287663361,5,2
,2019,11,19,21,150,-7,13,999,SW,38.55552056,6,0
,2022,4,22,11,126,-26,22,1003,SE,4.108665731,3,3
,2022,5,30,15,154,-26,30,1013,SE,32.07766461,8,8
,2012,12,18,15,272,-14,30,1000,NE,40.17147543,0,5
,2020,5,8,4,103,-1,34,992,SE,14.13450862,2,5
,2013,4,1,23,298,-22,29,1018,SE,22.45532408,9,6
,2018,2,17,0,245,-25,16,1019,NE,0.716792109,1,0
,2018,12,24,2,175,-6,10,1026,NE,40.19375998,1,4
,2020,8,9,5,38,-12,-6,996,SW,35.1630545,0,3
,2018,1,10,7,169,-15,24,1006,NW,11.56936972,2,3
,2022,9,9,15,246,-10,10,1009,SE,19.51130989,9,6
,2018,6,12,5,25,-29,-7,1000,NE,34.76582509,4,1
,2021,4,24,13,12,-21,38,1014,SW,17.90815609,5,4
,2010,6,10,9,35,-15,37,1013,NW,8.120738778,7,6
,2018,11,29,21,172,6,5,991,SE,25.92527644,3,2
,2021,9,8,3,19,-16,20,1016,SW,36.17837851,0,1
,2021,12,4,11,263,-18,15,1008,NW,16.04047535,8,0
,2020,12,24,6,141,-18,24,1018,SE,6.088613582,2,4
,2021,9,14,6,142,1,-5,1026,SW,41.47720809,7,4
,2020,3,29,15,91,14,22,1000,SE,12.64009332,3,3
,2022,8,7,0,287,16,10,1008,NW,25.64074771,2,7
,2011,1,25,15,214,15,5,1017,NE,34.56715747,2,1
,2017,9,10,2,50,-23,36,1028,SW,15.85376002,3,3
,2018,7,30,14,152,12,28,1010,NW,32.43182687,3,4
,2021,10,24,5,185,-13,23,1015,SE,22.98547532,6,8
,2017,7,28,12,62,25,31,1011,NW,28.52183276,1,2
,2018,6,10,19,189,5,4,995,NW,29.52880518,7,0
,2014,1,15,7,124,-5,-5,1000,NE,41.20753434,1,3
,2019,2,15,11,149,-21,-9,1003,SW,32.81631367,0,9
,2021,11,2,22,57,0,13,1025,NW,13.21533461,7,5
,2016,3,24,13,179,2,38,1029,NE,2.980217057,3,6
,2020,1,30,15,169,-2,17,991,NE,0.099277204,5,3
,2012,5,16,13,270,-26,-10,1009,NE,45.22086924,0,3
,2013,11,24,15,53,-18,-10,1011,SE,47.10550259,2,5
,2013,5,10,5,100,-30,17,1028,NE,4.705574383,6,0
,2022,6,29,3,263,-8,25,993,NE,24.35268091,6,4
,2019,7,26,19,52,9,9,1018,NE,7.579760173,7,2
,2013,10,25,23,59,-28,37,1013,NE,47.43745434,1,7
,2020,9,15,18,107,-28,-3,990,SW,12.34162584,6,4
,2017,7,28,7,4,-24,-10,1013,SW,25.08235478,3,6
,2011,6,19,3,102,5,15,1019,NE,8.281009587,5,7
,2021,9,24,2,195,4,32,1001,NW,16.63805423,3,7
,2011,2,24,12,261,-16,38,1008,SE,13.34031805,8,1
,2014,6,10,3,46,9,14,1026,NW,23.77130215,0,1
,2015,5,20,10,143,-28,-1,1029,NW,20.9890981,0,9
,2013,12,15,15,268,-2,1,993,NE,16.53988973,4,4
,2021,6,21,14,123,-1,30,1004,NW,5.293880882,4,2
,2016,10,29,1,105,8,-4,1009,SW,24.2243511,7,9
,2019,1,2,14,157,-13,1,1009,SW,42.5104009,6,0
,2013,11,14,5,146,-20,36,1010,SE,36.51116683,2,7
,2017,5,15,14,144,12,29,999,SW,36.02874421,7,5
,2011,12,22,12,119,18,6,1019,SW,18.30458684,3,2
,2019,8,10,2,274,29,-6,1013,NE,35.42095403,2,7
,2013,3,30,18,91,7,3,1029,SW,23.27657407,1,0
,2020,3,9,11,57,9,23,1029,NW,7.513804542,8,2
,2016,11,19,11,228,-30,37,1027,NW,20.9524875,6,8
,2014,7,6,16,116,-2,6,992,SW,6.636931552,4,5
,2019,7,8,23,278,-21,24,1018,SE,5.724140945,8,0
,2020,12,2,7,126,-3,-10,997,SE,1.152965423,2,8
,2011,2,26,12,128,26,39,1018,SE,14.14271505,5,6
,2012,8,1,11,57,0,39,999,SW,16.54373921,7,0
,2013,5,13,15,121,-12,25,994,SE,34.97218565,8,0
,2014,9,6,20,0,-28,4,1000,SW,26.90023924,3,4
,2016,1,3,10,238,5,8,993,NW,42.9224856,0,3
,2012,11,29,19,289,12,31,1024,SE,8.823531335,7,7
,2018,4,2,8,95,-16,-6,1029,SE,13.29783229,9,1
,2019,8,27,18,125,2,8,1001,SE,47.05380556,2,5
,2012,9,10,19,117,10,32,1010,NW,22.20226239,5,7
,2014,9,31,7,47,12,28,1005,SW,39.45254715,3,0
,2022,10,8,12,88,20,-6,1003,NW,24.60838243,5,2
,2014,11,9,1,236,14,1,1010,NW,23.55428285,2,0
,2016,1,7,18,271,-5,8,1016,NE,7.405814401,6,6
,2015,1,25,12,188,-15,36,1025,SE,42.55998055,1,0
,2020,7,29,18,191,5,1,990,SW,3.917764027,4,8
,2012,11,28,10,68,2,25,990,SW,15.51305473,2,7
,2021,12,31,23,277,-11,1,1011,NE,33.67340359,4,2
,2010,6,13,1,246,-18,7,1004,NE,25.36287754,2,3
,2015,7,7,7,75,2,38,1009,NW,44.06891635,8,8
,2020,8,19,6,153,-26,37,992,NE,1.964897639,7,9
,2015,11,1,0,143,6,32,1003,SW,32.47037597,1,5
,2013,6,13,13,85,-17,23,998,SW,23.87327353,7,4
,2011,10,17,7,184,-4,37,1008,SW,7.715591173,7,4
,2018,10,12,0,284,-8,22,1029,NW,37.16259536,9,0
,2015,12,21,16,219,-17,38,1023,SE,20.56534277,2,0
,2022,10,25,20,68,9,7,993,SE,26.57909521,9,2
,2010,7,26,23,46,-27,18,1022,NW,48.36330332,4,1
,2017,11,14,3,93,8,34,1026,SW,24.31150405,1,9
,2019,7,16,5,237,21,-6,991,SW,41.16864328,9,0
,2016,7,12,0,203,-12,14,1016,NW,38.47887617,5,4
,2020,2,22,2,217,16,13,1006,NW,33.13772958,1,2
,2020,3,16,20,38,23,18,1020,NE,44.84060717,3,6
,2015,10,2,1,99,-27,27,995,NW,12.58008235,2,7
,2021,9,22,16,288,-1,22,1020,SE,41.03856157,0,9
,2020,1,27,8,253,-12,-1,992,NW,18.88937442,7,5
,2020,8,20,7,221,0,26,1029,SW,40.6245445,7,4
,2010,7,25,18,22,0,22,992,SW,24.68943423,0,9
,2019,6,26,14,249,-22,12,1022,SW,42.88546265,5,4
,2022,1,19,5,9,22,0,1002,SE,44.74217688,0,0
,2014,9,7,23,245,-18,13,1010,SE,29.88219378,8,5
,2013,2,26,5,99,-17,13,1026,NE,25.38134784,0,5
,2016,10,12,7,289,24,-4,1005,NW,39.16400717,2,2
,2011,12,14,2,179,29,39,1010,NE,13.34931016,8,3
,2010,5,24,11,222,15,10,1002,NW,0.767434062,0,3
,2016,9,18,19,249,23,9,993,NW,20.35472914,1,5
,2017,12,26,7,146,-21,-1,1020,SE,25.38870664,3,7
,2014,8,7,10,95,17,14,998,SW,14.86313597,6,8
,2017,10,5,14,256,0,36,1022,NW,19.16809409,7,8
,2013,4,1,12,3,6,25,1026,SE,6.652911646,0,4
,2017,8,7,23,15,-8,37,1026,NE,13.86449517,0,7
,2020,9,16,21,279,-4,36,1013,SW,12.0047674,4,7
,2012,12,26,12,246,-25,4,1014,NE,15.04934269,7,9
,2016,11,24,13,257,-5,33,1018,NE,14.95270553,0,3
,2015,5,29,21,159,-29,29,1029,SE,27.94841855,2,3
,2010,1,16,8,151,14,29,1025,SW,12.52984701,5,2
,2014,11,30,23,177,-18,39,1004,NW,47.04806317,0,4
,2020,6,17,2,162,20,-5,1007,NE,25.56374152,2,7
,2021,4,4,22,32,19,26,1009,NW,6.44830032,0,7
,2013,6,16,11,178,29,-9,994,SW,13.98031353,3,8
,2022,1,4,8,100,-12,1,1007,SE,36.48787481,8,0
,2015,4,5,11,267,-30,-7,1029,SE,0.682951919,4,3
,2018,5,5,10,64,9,12,990,SE,46.89089931,2,5
,2013,6,20,18,167,1,2,1008,NW,22.25884609,9,4
,2011,5,11,8,42,-9,6,1012,NW,26.05395115,6,3
,2021,2,14,4,43,17,20,1015,SW,49.42061179,5,2
,2017,3,17,9,284,-2,5,1018,NW,25.1701543,8,1
,2010,5,9,8,11,-29,30,1023,SE,47.38719972,3,8
,2015,11,21,0,94,9,15,1008,NE,45.76155579,3,9
